timestamp,open,high,low,close
2023-01-02 05:30:00,117.8,120.75,117.0,120.4
2023-01-03 05:30:00,121.25,123.9,119.75,123.0
2023-01-04 05:30:00,122.85,123.85,119.95,122.2
2023-01-05 05:30:00,122.9,124.25,121.05,123.85
2023-01-06 05:30:00,124.35,126.1,122.6,123.7
2023-01-09 05:30:00,124.95,126.25,124.3,125.55
2023-01-10 05:30:00,125.65,125.8,122.1,123.15
2023-01-11 05:30:00,123.6,123.7,121.0,121.75
2023-01-12 05:30:00,122.0,122.15,119.35,120.65
2023-01-13 05:30:00,121.0,123.45,120.3,122.8
2023-01-16 05:30:00,123.0,124.4,122.25,123.45
2023-01-17 05:30:00,123.7,124.25,121.25,123.1
2023-01-18 05:30:00,123.5,124.35,122.95,123.7
2023-01-19 05:30:00,123.5,123.8,122.5,123.55
2023-01-20 05:30:00,123.95,125.5,123.35,124.1
2023-01-23 05:30:00,124.95,124.95,123.8,124.35
2023-01-24 05:30:00,124.75,124.85,122.35,122.9
2023-01-25 05:30:00,122.9,123.2,119.6,120.5
2023-01-27 05:30:00,120.5,120.95,112.05,115.15
2023-01-30 05:30:00,115.3,118.55,114.75,115.95
2023-01-31 05:30:00,116.15,122.1,114.0,121.75
2023-02-01 05:30:00,122.9,123.0,115.95,117.45
2023-02-02 05:30:00,117.4,120.25,116.25,117.75
2023-02-03 05:30:00,118.25,119.0,115.5,118.75
2023-02-06 05:30:00,119.35,121.5,119.0,121.1
2023-02-07 05:30:00,121.45,123.35,120.2,120.6
2023-02-08 05:30:00,121.25,121.5,119.75,120.85
2023-02-09 05:30:00,117.55,118.55,115.95,117.3
2023-02-10 05:30:00,117.0,118.2,116.5,117.0
2023-02-13 05:30:00,116.8,117.25,113.35,114.05
2023-02-14 05:30:00,114.3,114.3,110.45,113.55
2023-02-15 05:30:00,113.3,116.25,113.1,115.85
2023-02-16 05:30:00,116.5,117.1,115.6,116.45
2023-02-17 05:30:00,115.85,116.55,114.85,115.6
2023-02-20 05:30:00,115.95,116.0,113.25,113.55
2023-02-21 05:30:00,113.55,115.4,112.6,113.95
2023-02-22 05:30:00,113.0,113.45,111.5,112.05
2023-02-23 05:30:00,112.0,113.15,111.25,112.8
2023-02-24 05:30:00,113.4,113.8,112.4,113.0
2023-02-27 05:30:00,112.9,113.0,110.75,111.9
2023-02-28 05:30:00,112.2,115.0,111.95,114.3
2023-03-01 05:30:00,114.75,115.55,113.85,115.05
2023-03-02 05:30:00,115.25,116.1,114.85,115.75
2023-03-03 05:30:00,116.5,118.9,116.5,118.15
2023-03-06 05:30:00,118.75,122.25,118.25,121.45
2023-03-08 05:30:00,120.8,125.2,120.15,124.65
2023-03-09 05:30:00,124.95,128.45,124.7,126.05
2023-03-10 05:30:00,126.05,126.05,121.25,122.4
2023-03-13 05:30:00,123.2,123.45,119.0,119.65
2023-03-14 05:30:00,119.55,119.65,116.75,117.05
2023-03-15 05:30:00,117.6,119.6,116.4,116.75
2023-03-16 05:30:00,116.8,117.85,114.9,117.2
2023-03-17 05:30:00,118.0,118.95,115.65,118.35
2023-03-20 05:30:00,118.9,118.9,115.05,116.15
2023-03-21 05:30:00,116.95,118.85,116.2,118.65
2023-03-22 05:30:00,118.9,120.1,118.2,118.5
2023-03-23 05:30:00,118.0,118.9,117.05,117.4
2023-03-24 05:30:00,117.4,117.5,114.8,115.15
2023-03-27 05:30:00,115.15,115.9,113.8,115.05
2023-03-28 05:30:00,115.45,115.5,113.2,114.1
